Data Set 1:Time(s),Data Set 1:Position(m),Data Set 1:Velocity(m/s),Data Set 1:Acceleration(m/s²),Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²),Data Set 3:Time(s),Data Set 3:Position(m),Data Set 3:Velocity(m/s),Data Set 3:Acceleration(m/s²),Data Set 4:Time(s),Data Set 4:Position(m),Data Set 4:Velocity(m/s),Data Set 4:Acceleration(m/s²),Data Set 5:Time(s),Data Set 5:Position(m),Data Set 5:Velocity(m/s),Data Set 5:Acceleration(m/s²),Data Set 6:Time(s),Data Set 6:Position(m),Data Set 6:Velocity(m/s),Data Set 6:Acceleration(m/s²),Data Set 7:Time(s),Data Set 7:Position(m),Data Set 7:Velocity(m/s),Data Set 7:Acceleration(m/s²),Data Set 8:Time(s),Data Set 8:Position(m),Data Set 8:Velocity(m/s),Data Set 8:Acceleration(m/s²),Data Set 9:Time(s),Data Set 9:Position(m),Data Set 9:Velocity(m/s),Data Set 9:Acceleration(m/s²)
0,0.7271999716758728,-0.50611052248213029,0.50373875064614404,0,0.65789997577667236,-0.48466649320390487,1.8422784150382612,0,0.63580000400543213,-0.31144446796841091,1.4310793413056266,0,0.5593000054359436,0.49322194523281526,2.011738544628944,0,0.52689999341964722,0.50033324294620096,2.9603792929355,0,0.72820001840591431,0.95420814925171304,-2.9842664770058378,0,0.72339999675750732,0.8319861158377394,-2.2749601645922075,0,2.5755000114440918,-11.131146339455036,-172.00079800971545,0,0.62309998273849487,0.99427621773999142,0.36324314122448054
0.050000000000000003,0.70240002870559692,-0.51480548249350655,2.5491645196337758,0.050000000000000003,0.63099998235702515,-0.40524977776739335,2.21744430101948,0.050000000000000003,0.61860001087188721,-0.25497236185603672,1.8816980553997888,0.050000000000000003,0.58069998025894165,0.58602773480945169,2.067434933082557,0.050000000000000003,0.54689997434616089,0.63858346806632149,3.0493002982787138,0.033000000000000002,0.76139998435974121,0.8723061995875554,-3.7226223674248256,0.033000000000000002,0.75199997425079346,0.77230623775861085,-2.9525997863811981,0.033000000000000002,2.5727999210357666,-20.282113115594843,-35.36786654704504,0.033000000000000002,0.65509998798370361,1.0154462522930567,-0.15694823841492386
0.10000000000000001,0.67549997568130493,-0.5073668360710144,8.623693375675769,0.10000000000000001,0.61239999532699585,-0.28773309787114459,2.7463040694042493,0.10000000000000001,0.60579997301101685,-0.15466666221618652,2.5201404260264506,0.10000000000000001,0.61169999837875366,0.71306677659352624,1.7957508674374332,0.10000000000000001,0.58240002393722534,0.81956674655278527,2.7667861735379256,0.066000000000000003,0.78960001468658447,0.74070695072713522,-4.7668991529004598,0.066000000000000003,0.7775999903678894,0.66636355236323186,-3.9017678905546163,0.066000000000000003,0.95099997520446777,-19.152474192657852,133.97028927861342,0.066000000000000003,0.69029998779296875,1.0152022043863933,-1.143992800609281
0.14999999999999999,0.64999997615814209,0.029277933968438068,16.393639158319544,0.14999999999999999,0.60030001401901245,-0.13216654459635416,3.2710245159673104,0.14999999999999999,0.60030001401901245,-0.0020554330613878034,3.0860654494644684,0.14999999999999999,0.6534000039100647,0.80900003512700402,0.74341579719826045,0.14999999999999999,0.63069999217987061,0.96272206968731355,1.6115343865053153,0.099000000000000005,0.81199997663497925,0.55917500446139756,-5.8231259148735708,0.099000000000000005,0.79759997129440308,0.51464637120564782,-4.8430830140242964,0.099000000000000005,0.86140000820159912,-6.8769358123593065,184.44667537995608,0.099000000000000005,0.72409999370574951,0.95673437271053929,-2.5855432535523604
0.20000000000000001,0.62550002336502075,1.1327222320768568,19.731613316653689,0.20000000000000001,0.59820002317428589,0.054666433069441051,3.4830562181678815,0.20000000000000001,0.60449999570846558,0.18088893757926094,3.1002622309290331,0.20000000000000001,0.69720000028610229,0.81299997038311433,-0.89827622896359249,0.20000000000000001,0.68339997529983521,1.0110557079315186,-0.26046481029486923,0.13200000000000001,0.82719999551773071,0.34032014483955969,-6.4454002662497984,0.13200000000000001,0.81199997663497925,0.33350178488978632,-5.4434748271515234,0.13200000000000001,0.82999998331069946,-2.3590909310864276,106.50767730475809,0.13200000000000001,0.75480002164840698,0.84452887978216606,-4.110718810601159
0.25,0.61339998245239258,4.2517220311694688,-13.643035377249305,0.25,0.60579997301101685,0.23833304643630984,3.1867050388712941,0.25,0.61930000782012939,0.34105569124221802,2.4009556277298634,0.25,0.73890000581741333,0.71511093113157498,-2.5219823033721362,0.25,0.73650002479553223,0.94266682863235485,-2.3303466446605734,0.16500000000000001,0.8345000147819519,0.11818196235682425,-6.5270855536822667,0.16500000000000001,0.81959998607635498,0.147895730705775,-5.6918334811738376,0.16500000000000001,0.81379997730255127,-0.96952824881582556,39.353157258711896,0.16500000000000001,0.78140002489089966,0.67643078690024738,-5.3193046287043213
0.29999999999999999,1.4968999624252319,-0.057944191826714418,-46.985244199081713,0.29999999999999999,0.62339997291564941,0.39083338446087312,2.4610519961074542,0.29999999999999999,0.64170002937316895,0.43538878361384076,1.3504924229633657,0.29999999999999999,0.77139997482299805,0.54472204711702144,-3.8061717594111415,0.29999999999999999,0.78200000524520874,0.76544440454906892,-4.1524707351201862,0.19800000000000001,0.83480000495910645,-0.097811472937715568,-6.3107246680744558,0.19800000000000001,0.82239997386932373,-0.052609076403608228,-5.4741410457488833,0.19800000000000001,0.77170002460479736,-1.0866999425470629,6.8356784172070215,0.19800000000000001,0.8003000020980835,0.47575715013626046,-5.9262650718070971
0.34999999999999998,0.60650002956390381,-4.3481663200590335,-13.405031425717434,0.34999999999999998,0.6468999981880188,0.49405564864476514,1.4697545840416415,0.34999999999999998,0.6654999852180481,0.46733319759368891,0.40734621845645602,0.34999999999999998,0.79549998044967651,0.31916664706336123,-4.6879919406808455,0.34999999999999998,0.8158000111579895,0.51261100504133428,-5.5767596687799612,0.23100000000000001,0.82760000228881836,-0.3003366667814929,-5.9566656603849566,0.23100000000000001,0.8158000111579895,-0.23686820609802348,-4.4779331960022821,0.23100000000000001,0.73650002479553223,-1.1149832997659239,0.37424776760850947,0.23100000000000001,0.81269997358322144,0.27297974034190581,-6.0528058884188667
0.40000000000000002,0.61650002002716064,-1.2164999379052055,20.062066062732967,0.40000000000000002,0.67479997873306274,0.54416682985093845,0.32422892105432238,0.40000000000000002,0.68930000066757202,0.46838896142111874,-0.39895009479404947,0.40000000000000002,0.80479997396469116,0.057500104109446198,-5.0803693908232228,0.40000000000000002,0.83649998903274536,0.18577771054373846,-6.408147403487451,0.26400000000000001,0.81480002403259277,-0.49175111332325033,-5.5253736380931606,0.26400000000000001,0.80510002374649048,-0.3659931397197223,-2.8595509339668723,0.26400000000000001,0.69859999418258667,-1.1382998039425427,0.24047826017555771,0.26400000000000001,0.81859999895095825,0.066077769404709955,-5.8248712422443427
0.45000000000000001,0.6348000168800354,-0.097499953375922363,16.840924708931528,0.45000000000000001,0.70410001277923584,0.52772243817647302,-0.84262501310419091,0.45000000000000001,0.71380001306533813,0.42983329958385891,-1.2326854430598975,0.45000000000000001,0.80169999599456787,-0.21211097637812296,-4.9006799120961881,0.45000000000000001,0.83550000190734863,-0.16538884904649523,-6.3631475707631049,0.29699999999999999,0.79509997367858887,-0.67508446447777037,-4.8198705350180031,0.29699999999999999,0.79000002145767212,-0.42727298608131276,-1.2014827944339921,0.29699999999999999,0.66030001640319824,-1.1094277755981341,1.642689961776993,0.29699999999999999,0.81620001792907715,-0.11725578243884975,-5.4274542375293047
