Data Set 1:Time(s),Data Set 1:Position(m),Data Set 1:Velocity(m/s),Data Set 1:Acceleration(m/s²)
0.0,0.8619999885559082,0.238777928882175,-3.172878361778494
0.05,0.878600001335144,0.0997222628858354,-3.6188378727730406
0.1,0.8813999891281127,-0.1058999896049499,-3.966352956162559
0.1499999999999999,0.8693000078201293,-0.331277847290039,-3.637692205331944
0.2,0.84579998254776,-0.5156112710634867,-2.2933141261707126
0.25,0.8133999705314636,-0.5922776791784499,-0.1882957529138637
0.2999999999999999,0.7817000150680542,-0.5456666813956366,2.154844594590459
0.3499999999999999,0.7526999711990356,-0.3599446018536884,4.073641679169218
0.4,0.7419999837875366,-0.0883333881696065,4.883735304997289
0.45,0.7447999715805053,0.1746110783682929,4.589322025393264
0.5,0.7609999775886535,0.4002778397666083,3.4700626208458427
0.55,0.7875999808311462,0.5496111843321059,1.6457410690225214
0.5999999999999999,0.8202999830245971,0.5889445543289185,-0.6741360933692367
0.65,0.8531000018119812,0.4793333344989353,-2.8979014283345084
0.6999999999999998,0.8726999759674072,0.2618333366182115,-4.304350655020021
0.75,0.8802999854087828,0.0090002682473924,-4.7362653009685465
0.8,0.8741000294685363,-0.2501110235850016,-4.200002035976929
0.8499999999999999,0.8526999950408936,-0.4480556646982829,-2.77605062281644
0.9,0.8251000046730042,-0.5466667479938933,-0.8525921054828306
0.95,0.7940999865531921,-0.5416666799121432,1.2689520731384392
1.0,0.7657999992370605,-0.4140554202927481,3.1984267963303448
1.05,0.7486000061035156,-0.1913331945737202,4.3974065302330745
1.1,0.7451000213623046,0.0703333483801948,4.553115349492912
1.15,0.7569000124931335,0.3051109115282696,3.714690844953796
1.2,0.7785999774932861,0.4688333140479192,2.181204564777417
1.25,0.8076000213623046,0.5372777912351816,0.272777970926261
1.3,0.8364999890327453,0.5000554521878559,-1.7161410347914945
1.35,0.8619999885559082,0.3561667932404415,-3.4304309590363204
1.4,0.8758000135421752,0.1271668076515198,-4.419321686397368
1.45,0.8758000135421752,-0.1289444499545626,-4.389908928194162
1.5,0.8614000082015991,-0.3512778878211972,-3.39697593892062
1.55,0.8375999927520752,-0.4975000354978771,-1.68706791268455
1.6,0.807200014591217,-0.5347778730922279,0.3775619246341536
1.65,0.7792999744415283,-0.4555555846956044,2.337593024159659
1.7,0.7576000094413757,-0.2782221635182697,3.753208874920269
1.75,0.7493000030517578,-0.0460002157423231,4.3349066634237
1.8,0.7526999711990356,0.1928887102339002,3.990279910741029
1.85,0.7702999711036682,0.3892778688006934,2.7707438777994278
1.9,0.7954999804496765,0.4935558968120155,0.9719758306020564
1.95,0.8238000273704528,0.494111312760247,-1.0093240458288328
2.0,0.8496000170707702,0.3827775518099469,-2.738674941622184
2.05,0.8654999732971191,0.1903887589772541,-3.7763260396910288
2.1,0.8695999979972839,-0.0302221377690632,-3.9740111356900014
2.15,0.8616999983787536,-0.2354999383290607,-3.4293828555095334
2.2,0.8445000052452087,-0.3980000151528251,-2.2424385871416304
2.25,0.8188999891281127,-0.4837777548366131,-0.5055557062596461
2.3,0.7914000153541564,-0.457611150211758,1.4187347373844716
2.35,0.7688999772071838,-0.3293333119816248,3.036574651429682
2.4,0.7551000118255615,-0.1222220725483363,3.914875417579837
2.45,0.7562000155448912,0.1008887754546271,3.876170736772043
2.5,0.7664999961853027,0.2953330675760909,3.06657453378042
2.55,0.7878999710083007,0.432166556517283,1.6316393827214606
2.6,0.8133999705314636,0.4770003093613515,-0.2162626863997675
2.65,0.8403000235557556,0.4113336735301544,-2.060279176558974
2.7,0.8586000204086303,0.2483889460563659,-3.3811763848787444
2.75,0.8669000267982482,0.0399442513783773,-3.9053108773113823
2.8,0.863099992275238,-0.179000265068478,-3.5472212382304797
2.85,0.8464999794960022,-0.3434444136089747,-2.4728066023485127
2.9,0.8262000083923339,-0.441722108258141,-0.9777776988936068
2.95,0.7989000082015991,-0.4528334074550204,0.7744134024337433
3.0,0.7764999866485595,-0.3598333729637999,2.4020078189579093
3.05,0.7599999904632568,-0.193055338329739,3.539754376735218
3.1,0.7548000216484069,0.0267780158254835,3.8843502417022777
3.15,0.7631000280380249,0.2366666661368474,3.275274402565425
3.2,0.7814000248908995,0.3818330499860975,1.98564637958268
3.25,0.8044999837875366,0.4464997185601136,0.3758041395081419
3.3,0.8295999765396118,0.4215000735388861,-1.2811709701279108
3.35,0.8503000140190125,0.3084444999694822,-2.679877148734198
