Data Set 1:Time(s),Data Set 1:Position(m),Data Set 1:Velocity(m/s),Data Set 1:Acceleration(m/s²),Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²),Data Set 3:Time(s),Data Set 3:Position(m),Data Set 3:Velocity(m/s),Data Set 3:Acceleration(m/s²),Data Set 4:Time(s),Data Set 4:Position(m),Data Set 4:Velocity(m/s),Data Set 4:Acceleration(m/s²),Data Set 5:Time(s),Data Set 5:Position(m),Data Set 5:Velocity(m/s),Data Set 5:Acceleration(m/s²),Data Set 6:Time(s),Data Set 6:Position(m),Data Set 6:Velocity(m/s),Data Set 6:Acceleration(m/s²),Data Set 7:Time(s),Data Set 7:Position(m),Data Set 7:Velocity(m/s),Data Set 7:Acceleration(m/s²),Data Set 8:Time(s),Data Set 8:Position(m),Data Set 8:Velocity(m/s),Data Set 8:Acceleration(m/s²),Data Set 9:Time(s),Data Set 9:Position(m),Data Set 9:Velocity(m/s),Data Set 9:Acceleration(m/s²),Data Set 10:Time(s),Data Set 10:Position(m),Data Set 10:Velocity(m/s),Data Set 10:Acceleration(m/s²)
0,0.53030002117156982,-1.1520003610187106,3.6148922844433478,0,0.7720000147819519,-0.56655579143100321,-3.3284369920506887,0,0.50029999017715454,-1.1553331547313266,3.5110176860550291,0,0.74720001220703125,0.078999929957919643,-2.8049776362784109,0,0.86169999837875366,1.7666664388444691,37.481880629504175,0,0.47580000758171082,1.3486664493878682,-0.17768275406625436,0,0.47960001230239868,23.348888489935135,-211.21135058594339,0,0.65450000762939453,1.3901107178794012,-4.5062658889794021,0,0.67930001020431519,-1.3321114248699613,1.493262240180262,0,0.82410001754760742,0.0026667780346340607,-0.078784687283598345
0.050000000000000003,0.46889999508857727,-1.0101668453878827,4.3872436181998546,0.050000000000000003,0.74860000610351562,-0.71319467491573763,-3.7029483463661172,0.050000000000000003,0.43479999899864197,-0.97658317950036799,3.5807396379517917,0.050000000000000003,0.75480002164840698,-0.03733360105090671,-3.4785434916431526,0.050000000000000003,0.85579997301101685,3.6123333705796141,17.605811053956003,0.050000000000000003,0.54269999265670776,1.351916566491127,-0.65800706545511845,0.050000000000000003,2.0378999710083008,13.148944493797091,-200.00687730165177,0.050000000000000003,0.72759997844696045,1.2228887610965307,-5.884880414347589,0.050000000000000003,0.61129999160766602,-1.2772224181228216,2.1466051649164277,0.050000000000000003,0.82450002431869507,-0.0024165875381893585,-0.087420629498399335
0.10000000000000001,0.41269999742507935,-0.72320001324017846,4.9139277554220628,0.10000000000000001,0.71139997243881226,-0.93346667289733887,-3.8324696708608563,0.10000000000000001,0.3986000120639801,-0.80933326482772827,3.9393043738824347,0.10000000000000001,0.75199997425079346,-0.2269002397855123,-4.3593309985266799,0.10000000000000001,0.84270000457763672,8.2909334699312858,-44.570888744460213,0.10000000000000001,0.6119999885559082,1.3261667191982269,-1.5974153661065635,0.10000000000000001,2.4721000194549561,-0.066833078861236572,-147.16334918582882,0.10000000000000001,0.79579997062683105,0.87393361330032349,-7.2416818031558288,0.10000000000000001,0.54689997434616089,-1.1689666112263997,3.2136324213610763,0.10000000000000001,0.82380002737045288,-0.0035333037376403813,-0.24839916163020662
0.14999999999999999,0.39890000224113464,-0.46149998903274536,4.5466488461803509,0.14999999999999999,0.65450000762939453,-1.1416664885150063,-3.1016014350785155,0.14999999999999999,0.35510000586509705,-0.6421666840712229,5.2356013876420482,0.14999999999999999,0.73549997806549072,-0.48077765438291764,-5.0289236340257863,0.14999999999999999,2.5618000030517578,-0.6834444734785291,-105.28556241849321,0.14999999999999999,0.67890000343322754,1.2270001073678334,-3.14631244742576,0.14999999999999999,1.4914000034332275,-4.6946663657824201,-41.728333004830802,0.14999999999999999,0.82380002737045288,0.38800034258100724,-6.6686796663719932,0.14999999999999999,0.48960000276565552,-0.97161091036266756,4.5552041317209788,0.14999999999999999,0.82380002737045288,-0.0038889050483703613,-1.0000352083164969
0.20000000000000001,0.37409999966621399,-0.3014444311459859,4.6883582618133524,0.20000000000000001,0.59310001134872437,-1.274999992714988,-1.5692080189416442,0.20000000000000001,0.32580000162124634,-0.30288885037104291,6.7701697000014924,0.20000000000000001,0.70480000972747803,-0.76711101664437187,-4.9037774514268957,0.20000000000000001,0.77689999341964722,-9.7183333834012355,-37.908190893538212,0.20000000000000001,0.73930001258850098,1.0184999306996663,-4.9119616447039585,0.20000000000000001,1.6052000522613525,-1.3822219106886127,17.365059085466246,0.20000000000000001,0.82270002365112305,0.097611182265811502,-4.0807862377461097,0.20000000000000001,0.44690001010894775,-0.69638881418440068,5.6987083399737317,0.20000000000000001,0.82380002737045288,-0.047555665175120033,-2.9667819889239322
0.25,0.36100000143051147,-0.02249997523095873,5.2451728781064366,0.25,0.52480000257492065,-1.3306111925178106,0.71917849742336148,0.25,0.32030001282691956,0.11438892947302925,6.8265116913819028,0.25,0.65759998559951782,-1.0188888013362887,-3.7052413508479982,0.25,0.7150999903678894,-4.1588332917955189,30.247137079268331,0.25,0.78479999303817749,0.71483314037323009,-6.2425313797997832,0.25,1.6641000509262085,-1.7412778404023916,38.692465468689264,0.25,0.82340002059936523,0.020499991046057806,-2.243575645081791,0.25,0.41960000991821289,-0.39305562774340319,6.6241776704052358,0.25,0.82480001449584961,-0.23333347505993315,-5.9808771606580722
0.29999999999999999,0.37070000171661377,0.27316671278741628,4.9631476586247665,0.29999999999999999,0.45309999585151672,-1.2233889434072707,3.3554943807331159,0.29999999999999999,0.34310001134872437,0.4378332859939999,5.7224374586417346,0.29999999999999999,0.59820002317428589,-1.1665000187026131,-1.7891672934278999,0.29999999999999999,0.64579999446868896,-2.3504442473252616,27.339259351109288,0.29999999999999999,0.81239998340606689,0.36555541886223691,-6.9317272323885097,0.29999999999999999,0.95270001888275146,4.7470555702845267,8.7227421042359925,0.29999999999999999,0.82340002059936523,-0.019444492128160257,-2.6302480771217818,0.29999999999999999,0.40549999475479126,-0.038444532288445375,7.4423453046215897,0.29999999999999999,0.81620001792907715,-0.70844468143251216,-7.5647213760717404
0.34999999999999998,0.39340001344680786,0.48877772357728738,4.343394603994156,0.34999999999999998,0.39579999446868896,-0.96749996145566286,5.334691942473988,0.34999999999999998,0.36930000782012939,0.659222106138865,4.8930558525485752,0.34999999999999998,0.53649997711181641,-1.2023333542876771,0.33716082021042376,0.34999999999999998,0.57380002737045288,-1.4197777211666105,14.786727091780419,0.34999999999999998,0.82169997692108154,0.0017222099834018284,-7.1003995927763564,0.34999999999999998,2.553800106048584,3.3838881717787825,-87.751576764348087,0.34999999999999998,0.82410001754760742,-0.13488898674647012,-5.1188591453764154,0.34999999999999998,0.41200000047683716,0.38188881344265396,7.5011422328742912,0.34999999999999998,0.75269997119903564,-1.1628889044125872,-5.7303070746086222
0.40000000000000002,0.41929998993873596,0.69577773412068666,3.7761731556168301,0.40000000000000002,0.35240000486373901,-0.62594440248277439,5.9926541959062005,0.40000000000000002,0.40619999170303345,0.90772218174404562,4.307285585889109,0.40000000000000002,0.47440001368522644,-1.1371665530734589,2.5156478639002184,0.40000000000000002,0.50069999694824219,-1.3662222690052452,5.6255239395447694,0.40000000000000002,0.81239998340606689,-0.35805546575122404,-6.8630547803125248,0.40000000000000002,2.0230998992919922,-9.8195561766624415,-80.687093495586737,0.40000000000000002,0.8255000114440918,-0.54233349031872213,-7.2939208352271407,0.40000000000000002,0.4447999894618988,0.77255548702345944,6.3015750160923707,0.40000000000000002,0.68550002574920654,-1.3441110485129883,-2.3563889717614215
0.45000000000000001,0.46340000629425049,0.87900001141760076,2.9046301580505625,0.45000000000000001,0.33550000190734863,-0.31694445345136857,5.6284564880677204,0.45000000000000001,0.460999995470047,1.1228890551461115,3.0993526548515131,0.45000000000000001,0.41690000891685486,-0.94011119670338106,4.3797527290420755,0.45000000000000001,0.43130001425743103,-1.180611120329963,5.023672634068828,0.45000000000000001,0.78549998998641968,-0.70244434807035649,-6.1542290780279378,0.45000000000000001,0.7750999927520752,-9.8082218898667239,16.759850057186892,0.45000000000000001,0.77410000562667847,-1.0281113783518474,-6.3194443506223186,0.45000000000000001,0.4950999915599823,1.0432777636580997,4.369507987558106,0.45000000000000001,0.61239999532699585,-1.3647223677900102,0.65404330322771698
